"subject","absVD","OV","trial","choice","rt","leftval","rightval","VD","fixDurLeft","fixDurRight","fixDurTotal","EL","ER","x1","x2"
1,2,16,92,1,1026,9,7,2,635,0,635,1,0,9,-7
1,2,16,93,1,2665,9,7,2,1099,1175,2274,0.483289357959543,0.516710642040457,0.732629727352683,1.26737027264732
1,2,16,94,1,524,9,7,2,133,0,133,1,0,9,-7
1,2,16,95,0,1140,7,9,-2,404,345,749,0.539385847797063,0.460614152202937,-0.369826435246996,-1.630173564753
1,2,16,96,0,1662,7,9,-2,725,546,1271,0.570416994492526,0.429583005507474,0.126671911880409,-2.12667191188041
1,2,16,97,0,836,9,7,2,0,445,445,0,1,-7,9
1,2,16,98,1,2466,9,7,2,1334,741,2075,0.64289156626506,0.35710843373494,3.28626506024096,-1.28626506024096
1,2,16,99,0,675,7,9,-2,0,284,284,0,1,-9,7
1,2,16,100,0,1931,7,9,-2,867,673,1540,0.562987012987013,0.437012987012987,0.00779220779220813,-2.00779220779221
2,2,16,1,0,963,9,7,2,0,552,552,0,1,-7,9
2,2,16,2,1,545,9,7,2,134,0,134,1,0,9,-7
2,2,16,3,1,1888,9,7,2,735,742,1477,0.497630331753554,0.502369668246445,0.962085308056873,1.03791469194313
2,2,16,4,1,1046,9,7,2,635,0,635,1,0,9,-7
2,2,16,5,0,1757,7,9,-2,683,663,1346,0.507429420505201,0.492570579494799,-0.881129271916791,-1.11887072808321
2,2,16,6,1,1222,9,7,2,537,274,811,0.662145499383477,0.337854500616523,3.59432799013564,-1.59432799013563
2,2,16,7,0,735,7,9,-2,0,324,324,0,1,-9,7
2,2,16,8,0,2407,7,9,-2,1311,685,1996,0.656813627254509,0.343186372745491,1.50901803607214,-3.50901803607214
2,2,16,9,1,2310,9,7,2,922,977,1899,0.4855186940495,0.5144813059505,0.768299104791996,1.231700895208
2,2,16,10,1,743,9,7,2,332,0,332,1,0,9,-7
2,2,16,11,0,969,7,9,-2,2,556,558,0.003584229390681,0.996415770609319,-8.9426523297491,6.9426523297491
2,2,16,12,1,1782,9,7,2,696,675,1371,0.507658643326039,0.492341356673961,1.12253829321663,0.877461706783369
2,2,16,13,0,683,7,9,-2,0,272,272,0,1,-9,7
2,2,16,14,0,635,9,7,2,224,0,224,1,0,9,-7
2,2,16,15,1,772,7,9,-2,0,361,361,0,1,-9,7
2,2,16,16,0,1240,9,7,2,636,193,829,0.767189384800965,0.232810615199035,5.27503015681544,-3.27503015681544
2,2,16,17,1,1481,9,7,2,397,673,1070,0.371028037383178,0.628971962616822,-1.06355140186916,3.06355140186916
2,2,16,18,0,981,9,7,2,449,121,570,0.787719298245614,0.212280701754386,5.60350877192982,-3.60350877192982
2,2,16,19,0,747,7,9,-2,0,336,336,0,1,-9,7
2,2,16,20,1,724,9,7,2,313,0,313,1,0,9,-7
2,2,16,21,0,1043,9,7,2,38,594,632,0.060126582278481,0.939873417721519,-6.0379746835443,8.0379746835443
2,2,16,22,1,629,9,7,2,218,0,218,1,0,9,-7
2,2,16,23,0,730,7,9,-2,0,319,319,0,1,-9,7
2,2,16,24,1,925,7,9,-2,514,0,514,1,0,7,-9
2,2,16,25,0,840,9,7,2,0,429,429,0,1,-7,9
2,2,16,26,1,1246,9,7,2,472,363,835,0.565269461077844,0.434730538922156,2.04431137724551,-0.0443113772455086
2,2,16,27,0,751,7,9,-2,0,340,340,0,1,-9,7
2,2,16,28,1,1563,9,7,2,804,348,1152,0.697916666666667,0.302083333333333,4.16666666666667,-2.16666666666667
2,2,16,29,0,834,9,7,2,0,423,423,0,1,-7,9
2,2,16,30,0,1350,9,7,2,433,506,939,0.461128860489883,0.538871139510117,0.378061767838126,1.62193823216187
